description,putCall,symbol,exchangeName,bid,ask,last,mark,bidSize,askSize,bidAskSize,lastSize,highPrice,lowPrice,openPrice,closePrice,totalVolume,tradeDate,tradeTimeInLong,quoteTimeInLong,netChange,volatility,delta,gamma,theta,vega,rho,openInterest,timeValue,theoreticalOptionValue,theoreticalVolatility,optionDeliverablesList,strikePrice,expirationDate,daysToExpiration,expirationType,lastTradingDay,multiplier,settlementType,deliverableNote,isIndexOption,percentChange,markChange,markPercentChange,nonStandard,mini,inTheMoney
SPY Feb 19 2021 165 Call,CALL,SPY_021921C165,OPR,225.37,226.02,0.0,225.69,74,137,74X137,0,0.0,0.0,0.0,227.24,0,,0,1613682893868,0.0,296.923,1.0,0.0,0.0,0.0,0.0,0,-0.02,225.72,29.0,,165.0,1613768400000,1,R,1613782800000,100.0, ,,,0.0,-1.56,-0.69,False,False,True
SPY Feb 19 2021 170 Call,CALL,SPY_021921C170,OPR,220.37,221.02,0.0,220.69,74,137,74X137,0,0.0,0.0,0.0,222.24,0,,0,1613682893867,0.0,286.989,1.0,0.0,0.0,0.0,0.0,0,-0.02,220.72,29.0,,170.0,1613768400000,1,R,1613782800000,100.0, ,,,0.0,-1.56,-0.7,False,False,True
SPY Feb 19 2021 175 Call,CALL,SPY_021921C175,OPR,215.37,216.02,192.83,215.69,74,137,74X137,0,0.0,0.0,0.0,217.24,0,,1607965283053,1613682893866,-24.42,277.266,1.0,0.0,0.0,0.0,0.0,0,-22.89,215.72,29.0,,175.0,1613768400000,1,R,1613782800000,100.0, ,,,-11.24,-1.56,-0.72,False,False,True
SPY Feb 19 2021 180 Call,CALL,SPY_021921C180,OPR,210.37,211.02,0.0,210.69,74,137,74X137,0,0.0,0.0,0.0,212.24,0,,0,1613682893866,0.0,267.788,1.0,0.0,0.0,0.0,0.0,0,-0.02,210.72,29.0,,180.0,1613768400000,1,R,1613782800000,100.0, ,,,0.0,-1.56,-0.73,False,False,True
SPY Feb 19 2021 185 Call,CALL,SPY_021921C185,OPR,205.37,206.02,0.0,205.69,74,137,74X137,0,0.0,0.0,0.0,207.24,0,,0,1613682893866,0.0,258.528,1.0,0.0,0.0,0.0,0.0,0,-0.02,205.72,29.0,,185.0,1613768400000,1,R,1613782800000,100.0, ,,,0.0,-1.56,-0.75,False,False,True
SPY Feb 19 2021 190 Call,CALL,SPY_021921C190,OPR,200.37,201.02,0.0,200.69,74,137,74X137,0,0.0,0.0,0.0,202.24,0,,0,1613682893866,0.0,249.671,1.0,0.0,0.0,0.0,0.0,0,-0.02,200.72,29.0,,190.0,1613768400000,1,R,1613782800000,100.0, ,,,0.0,-1.56,-0.77,False,False,True
SPY Feb 19 2021 195 Call,CALL,SPY_021921C195,OPR,195.37,196.02,168.02,195.69,74,137,74X137,0,0.0,0.0,0.0,197.24,0,,1606247453162,1613682893868,-29.23,240.936,1.0,0.0,0.0,0.0,0.0,0,-27.7,195.72,29.0,,195.0,1613768400000,1,R,1613782800000,100.0, ,,,-14.82,-1.56,-0.79,False,False,True
SPY Feb 19 2021 200 Call,CALL,SPY_021921C200,OPR,190.37,191.02,191.3,190.69,74,137,74X137,0,191.3,191.3,0.0,192.24,10,,1613679140404,1613682893866,-0.94,232.434,1.0,0.0,0.0,0.0,0.0,4,0.58,190.72,29.0,,200.0,1613768400000,1,R,1613782800000,100.0, ,,,-0.49,-1.56,-0.81,False,False,True
SPY Feb 19 2021 205 Call,CALL,SPY_021921C205,OPR,185.37,186.02,0.0,185.69,74,137,74X137,0,0.0,0.0,0.0,187.24,0,,0,1613682893867,0.0,224.115,1.0,0.0,0.0,0.0,0.0,0,-0.02,185.72,29.0,,205.0,1613768400000,1,R,1613782800000,100.0, ,,,0.0,-1.56,-0.83,False,False,True
SPY Feb 19 2021 210 Call,CALL,SPY_021921C210,OPR,180.37,181.02,171.3,180.69,74,137,74X137,0,0.0,0.0,0.0,182.24,0,,1610139375672,1613682893866,-10.94,216.027,1.0,0.0,0.0,0.0,0.0,1,-9.42,180.72,29.0,,210.0,1613768400000,1,R,1613782800000,100.0, ,,,-6.01,-1.56,-0.86,False,False,True
