description,putCall,symbol,exchangeName,bid,ask,last,mark,bidSize,askSize,bidAskSize,lastSize,highPrice,lowPrice,openPrice,closePrice,totalVolume,tradeDate,tradeTimeInLong,quoteTimeInLong,netChange,volatility,delta,gamma,theta,vega,rho,openInterest,timeValue,theoreticalOptionValue,theoreticalVolatility,optionDeliverablesList,strikePrice,expirationDate,daysToExpiration,expirationType,lastTradingDay,multiplier,settlementType,deliverableNote,isIndexOption,percentChange,markChange,markPercentChange,nonStandard,mini,inTheMoney
SPY Feb 19 2021 165 Put,PUT,SPY_021921P165,OPR,0.0,0.01,0.01,0.0,0,11000,0X11000,0,0.0,0.0,0.0,0.0,0,,1612888587168,1613682898995,0.01,296.923,0.0,0.0,-0.001,0.0,0.0,17954,0.01,0.0,29.0,,165.0,1613768400000,1,R,1613782800000,100.0, ,,,9900.0,0.0,0.0,False,False,False
SPY Feb 19 2021 170 Put,PUT,SPY_021921P170,OPR,0.0,0.01,0.01,0.0,0,11410,0X11410,0,0.0,0.0,0.0,0.0,0,,1612376470490,1613682898995,0.01,286.989,0.0,0.0,-0.001,0.0,0.0,7745,0.01,0.0,29.0,,170.0,1613768400000,1,R,1613782800000,100.0, ,,,9900.0,0.0,0.0,False,False,False
SPY Feb 19 2021 175 Put,PUT,SPY_021921P175,OPR,0.0,0.01,0.01,0.0,0,12028,0X12028,0,0.0,0.0,0.0,0.0,0,,1613065689015,1613682898995,0.01,277.266,0.0,0.0,-0.001,0.0,0.0,4480,0.01,0.0,29.0,,175.0,1613768400000,1,R,1613782800000,100.0, ,,,9900.0,0.0,0.0,False,False,False
SPY Feb 19 2021 180 Put,PUT,SPY_021921P180,OPR,0.0,0.01,0.01,0.0,0,11814,0X11814,0,0.0,0.0,0.0,0.0,0,,1612903591475,1613682898995,0.01,267.788,0.0,0.0,-0.001,0.0,0.0,65753,0.01,0.0,29.0,,180.0,1613768400000,1,R,1613782800000,100.0, ,,,9900.0,0.0,0.0,False,False,False
SPY Feb 19 2021 185 Put,PUT,SPY_021921P185,OPR,0.0,0.01,0.01,0.0,0,11595,0X11595,0,0.0,0.0,0.0,0.0,0,,1612285469431,1613682898996,0.01,258.528,0.0,0.0,-0.001,0.0,0.0,2967,0.01,0.0,29.0,,185.0,1613768400000,1,R,1613782800000,100.0, ,,,9900.0,0.0,0.0,False,False,False
SPY Feb 19 2021 190 Put,PUT,SPY_021921P190,OPR,0.0,0.01,0.01,0.0,0,13169,0X13169,0,0.0,0.0,0.0,0.0,0,,1612376415008,1613682898995,0.01,249.671,0.0,0.0,-0.001,0.0,0.0,4768,0.01,0.0,29.0,,190.0,1613768400000,1,R,1613782800000,100.0, ,,,9900.0,0.0,0.0,False,False,False
SPY Feb 19 2021 195 Put,PUT,SPY_021921P195,OPR,0.0,0.01,0.01,0.0,0,12426,0X12426,0,0.0,0.0,0.0,0.0,0,,1612363776133,1613682898995,0.01,240.936,0.0,0.0,-0.001,0.0,0.0,19251,0.01,0.0,29.0,,195.0,1613768400000,1,R,1613782800000,100.0, ,,,9900.0,0.0,0.0,False,False,False
SPY Feb 19 2021 200 Put,PUT,SPY_021921P200,OPR,0.0,0.01,0.01,0.0,0,11102,0X11102,0,0.0,0.0,0.0,0.0,0,,1612990637467,1613682898995,0.01,232.434,0.0,0.0,-0.001,0.0,0.0,25693,0.01,0.0,29.0,,200.0,1613768400000,1,R,1613782800000,100.0, ,,,9900.0,0.0,0.0,False,False,False
SPY Feb 19 2021 205 Put,PUT,SPY_021921P205,OPR,0.0,0.01,0.01,0.0,0,12563,0X12563,0,0.0,0.0,0.0,0.0,0,,1612281039079,1613682898995,0.01,224.115,0.0,0.0,-0.001,0.0,0.0,14844,0.01,0.0,29.0,,205.0,1613768400000,1,R,1613782800000,100.0, ,,,9900.0,0.0,0.0,False,False,False
SPY Feb 19 2021 210 Put,PUT,SPY_021921P210,OPR,0.0,0.01,0.01,0.0,0,12387,0X12387,0,0.0,0.0,0.0,0.0,0,,1612795325061,1613682898995,0.01,216.027,0.0,0.0,-0.001,0.0,0.0,8244,0.01,0.0,29.0,,210.0,1613768400000,1,R,1613782800000,100.0, ,,,9900.0,0.0,0.0,False,False,False
