description,putCall,symbol,exchangeName,bid,ask,last,mark,bidSize,askSize,bidAskSize,lastSize,highPrice,lowPrice,openPrice,closePrice,totalVolume,tradeDate,tradeTimeInLong,quoteTimeInLong,netChange,volatility,delta,gamma,theta,vega,rho,openInterest,timeValue,theoreticalOptionValue,theoreticalVolatility,optionDeliverablesList,strikePrice,expirationDate,daysToExpiration,expirationType,lastTradingDay,multiplier,settlementType,deliverableNote,isIndexOption,percentChange,markChange,markPercentChange,nonStandard,inTheMoney,mini,Date
SPY Mar 8 2021 190 Call (Weekly),CALL,SPY_030821C190,OPR,193.26,194.19,0.0,193.73,2,2,2X2,0,0.0,0.0,0.0,193.7,0,,0,1614978899652,0.0,164.645,1.0,0.0,-0.013,0.0,0.019,0,0.1,193.676,29.0,,190.0,1615237200000,1,S,1615251600000,100.0, ,,,0.0,0.03,0.02,False,True,False,03-07-2021
SPY Mar 8 2021 195 Call (Weekly),CALL,SPY_030821C195,OPR,188.26,189.19,0.0,188.73,2,2,2X2,0,0.0,0.0,0.0,188.7,0,,0,1614978899652,0.0,158.704,1.0,0.0,-0.013,0.0,0.02,0,0.1,188.676,29.0,,195.0,1615237200000,1,S,1615251600000,100.0, ,,,0.0,0.03,0.02,False,True,False,03-07-2021
SPY Mar 8 2021 200 Call (Weekly),CALL,SPY_030821C200,OPR,183.26,184.19,0.0,183.73,2,2,2X2,0,0.0,0.0,0.0,183.7,0,,0,1614978899652,0.0,153.06,1.0,0.0,-0.013,0.0,0.02,0,0.1,183.677,29.0,,200.0,1615237200000,1,S,1615251600000,100.0, ,,,0.0,0.03,0.02,False,True,False,03-07-2021
SPY Mar 8 2021 205 Call (Weekly),CALL,SPY_030821C205,OPR,178.26,179.19,0.0,178.73,2,2,2X2,0,0.0,0.0,0.0,178.7,0,,0,1614978899652,0.0,147.383,1.0,0.0,-0.013,0.0,0.021,0,0.1,178.677,29.0,,205.0,1615237200000,1,S,1615251600000,100.0, ,,,0.0,0.03,0.02,False,True,False,03-07-2021
SPY Mar 8 2021 210 Call (Weekly),CALL,SPY_030821C210,OPR,173.26,174.19,180.98,173.73,2,2,2X2,0,0.0,0.0,0.0,173.7,0,,1612987952499,1614978899652,7.28,141.914,1.0,0.0,-0.013,0.0,0.021,24,7.35,173.677,29.0,,210.0,1615237200000,1,S,1615251600000,100.0, ,,,4.19,0.03,0.02,False,True,False,03-07-2021
SPY Mar 8 2021 215 Call (Weekly),CALL,SPY_030821C215,OPR,168.26,169.19,0.0,168.73,2,2,2X2,0,0.0,0.0,0.0,168.7,0,,0,1614978899652,0.0,136.504,1.0,0.0,-0.013,0.0,0.022,0,0.1,168.677,29.0,,215.0,1615237200000,1,S,1615251600000,100.0, ,,,0.0,0.03,0.02,False,True,False,03-07-2021
SPY Mar 8 2021 220 Call (Weekly),CALL,SPY_030821C220,OPR,163.26,164.19,170.99,163.73,2,2,2X2,0,0.0,0.0,0.0,163.7,0,,1612987952500,1614978899652,7.3,131.302,1.0,0.0,-0.013,0.0,0.022,24,7.36,163.677,29.0,,220.0,1615237200000,1,S,1615251600000,100.0, ,,,4.46,0.03,0.02,False,True,False,03-07-2021
SPY Mar 8 2021 225 Call (Weekly),CALL,SPY_030821C225,OPR,158.26,159.19,0.0,158.73,2,2,2X2,0,0.0,0.0,0.0,158.7,0,,0,1614978899652,0.0,126.175,1.0,0.0,-0.013,0.0,0.023,0,0.1,158.677,29.0,,225.0,1615237200000,1,S,1615251600000,100.0, ,,,0.0,0.03,0.02,False,True,False,03-07-2021
SPY Mar 8 2021 230 Call (Weekly),CALL,SPY_030821C230,OPR,153.26,154.19,0.0,153.73,2,2,2X2,0,0.0,0.0,0.0,153.7,0,,0,1614978899652,0.0,121.168,1.0,0.0,-0.013,0.0,0.023,0,0.1,153.677,29.0,,230.0,1615237200000,1,S,1615251600000,100.0, ,,,0.0,0.03,0.02,False,True,False,03-07-2021
SPY Mar 8 2021 235 Call (Weekly),CALL,SPY_030821C235,OPR,148.26,149.19,0.0,148.73,2,2,2X2,0,0.0,0.0,0.0,148.7,0,,0,1614978899652,0.0,116.263,1.0,0.0,-0.013,0.0,0.024,0,0.1,148.677,29.0,,235.0,1615237200000,1,S,1615251600000,100.0, ,,,0.0,0.03,0.02,False,True,False,03-07-2021
