description,putCall,symbol,exchangeName,bid,ask,last,mark,bidSize,askSize,bidAskSize,lastSize,highPrice,lowPrice,openPrice,closePrice,totalVolume,tradeDate,tradeTimeInLong,quoteTimeInLong,netChange,volatility,delta,gamma,theta,vega,rho,openInterest,timeValue,theoreticalOptionValue,theoreticalVolatility,optionDeliverablesList,strikePrice,expirationDate,daysToExpiration,expirationType,lastTradingDay,multiplier,settlementType,deliverableNote,isIndexOption,percentChange,markChange,markPercentChange,nonStandard,inTheMoney,mini,Date
SPY Mar 8 2021 190 Put (Weekly),PUT,SPY_030821P190,OPR,0.0,0.01,0.01,0.01,0,2268,0X2268,0,0.0,0.0,0.0,0.0,0,,1614265464624,1614978899818,0.01,164.645,0.0,0.0,0.0,0.0,0.0,102,0.01,0.0,29.0,,190.0,1615237200000,1,S,1615251600000,100.0, ,,,9900.0,0.0,4900.0,False,False,False,03-07-2021
SPY Mar 8 2021 195 Put (Weekly),PUT,SPY_030821P195,OPR,0.0,0.01,0.01,0.01,0,2022,0X2022,0,0.0,0.0,0.0,0.0,0,,1613584934232,1614978899794,0.01,158.704,0.0,0.0,0.0,0.0,0.0,166,0.01,0.0,29.0,,195.0,1615237200000,1,S,1615251600000,100.0, ,,,9900.0,0.0,4900.0,False,False,False,03-07-2021
SPY Mar 8 2021 200 Put (Weekly),PUT,SPY_030821P200,OPR,0.0,0.01,0.01,0.01,0,2022,0X2022,0,0.01,0.01,0.0,0.0,1,,1614978434917,1614978899794,0.01,153.06,0.0,0.0,0.0,0.0,0.0,8,0.01,0.0,29.0,,200.0,1615237200000,1,S,1615251600000,100.0, ,,,9900.0,0.0,4900.0,False,False,False,03-07-2021
SPY Mar 8 2021 205 Put (Weekly),PUT,SPY_030821P205,OPR,0.0,0.01,0.0,0.01,0,2022,0X2022,0,0.0,0.0,0.0,0.0,0,,0,1614978899794,0.0,147.383,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,29.0,,205.0,1615237200000,1,S,1615251600000,100.0, ,,,0.0,0.0,4900.0,False,False,False,03-07-2021
SPY Mar 8 2021 210 Put (Weekly),PUT,SPY_030821P210,OPR,0.0,0.01,0.01,0.01,0,2122,0X2122,0,0.0,0.0,0.0,0.0,0,,1614349894869,1614978899794,0.01,141.914,0.0,0.0,0.0,0.0,0.0,211,0.01,0.0,29.0,,210.0,1615237200000,1,S,1615251600000,100.0, ,,,9900.0,0.0,4900.0,False,False,False,03-07-2021
SPY Mar 8 2021 215 Put (Weekly),PUT,SPY_030821P215,OPR,0.0,0.01,0.02,0.01,0,2111,0X2111,0,0.0,0.0,0.0,0.0,0,,1614353610676,1614978899818,0.02,136.504,0.0,0.0,0.0,0.0,0.0,51,0.02,0.0,29.0,,215.0,1615237200000,1,S,1615251600000,100.0, ,,,19900.0,0.0,4900.0,False,False,False,03-07-2021
SPY Mar 8 2021 220 Put (Weekly),PUT,SPY_030821P220,OPR,0.0,0.01,0.01,0.01,0,2022,0X2022,0,0.0,0.0,0.0,0.0,0,,1614868206931,1614978899794,0.01,131.302,0.0,0.0,0.0,0.0,0.0,280,0.01,0.0,29.0,,220.0,1615237200000,1,S,1615251600000,100.0, ,,,9900.0,0.0,4900.0,False,False,False,03-07-2021
SPY Mar 8 2021 225 Put (Weekly),PUT,SPY_030821P225,OPR,0.0,0.01,0.03,0.01,0,2022,0X2022,0,0.0,0.0,0.0,0.0,0,,1614351622048,1614978899794,0.03,126.175,0.0,0.0,0.0,0.0,0.0,810,0.03,0.0,29.0,,225.0,1615237200000,1,S,1615251600000,100.0, ,,,29900.0,0.0,4900.0,False,False,False,03-07-2021
SPY Mar 8 2021 230 Put (Weekly),PUT,SPY_030821P230,OPR,0.0,0.01,0.03,0.01,0,2022,0X2022,0,0.0,0.0,0.0,0.0,0,,1614351280931,1614978899794,0.03,121.168,0.0,0.0,0.0,0.0,0.0,91,0.03,0.0,29.0,,230.0,1615237200000,1,S,1615251600000,100.0, ,,,29900.0,0.0,4900.0,False,False,False,03-07-2021
SPY Mar 8 2021 235 Put (Weekly),PUT,SPY_030821P235,OPR,0.0,0.01,0.01,0.01,0,2022,0X2022,0,0.0,0.0,0.0,0.0,0,,1614883215328,1614978899794,0.01,116.263,0.0,0.0,0.0,0.0,0.0,4,0.01,0.0,29.0,,235.0,1615237200000,1,S,1615251600000,100.0, ,,,9900.0,0.0,4900.0,False,False,False,03-07-2021
SPY Mar 8 2021 240 Put (Weekly),PUT,SPY_030821P240,OPR,0.0,0.01,0.02,0.01,0,2022,0X2022,0,0.0,0.0,0.0,0.0,0,,1614609001769,1614978899794,0.02,111.45,0.0,0.0,0.0,0.0,0.0,148,0.02,0.0,29.0,,240.0,1615237200000,1,S,1615251600000,100.0, ,,,19900.0,0.0,4900.0,False,False,False,03-07-2021
SPY Mar 8 2021 245 Put (Weekly),PUT,SPY_030821P245,OPR,0.0,0.01,0.03,0.01,0,2022,0X2022,0,0.0,0.0,0.0,0.0,0,,1614277256039,1614978899794,0.03,106.741,0.0,0.0,0.0,0.0,0.0,53,0.03,0.0,29.0,,245.0,1615237200000,1,S,1615251600000,100.0, ,,,29900.0,0.0,4900.0,False,False,False,03-07-2021
SPY Mar 8 2021 250 Put (Weekly),PUT,SPY_030821P250,OPR,0.0,0.01,0.02,0.01,0,2022,0X2022,0,0.0,0.0,0.0,0.0,0,,1614367932215,1614978899794,0.02,102.088,0.0,0.0,0.0,0.0,0.0,56,0.02,0.0,29.0,,250.0,1615237200000,1,S,1615251600000,100.0, ,,,19900.0,0.0,4900.0,False,False,False,03-07-2021
SPY Mar 8 2021 255 Put (Weekly),PUT,SPY_030821P255,OPR,0.0,0.01,0.02,0.01,0,2022,0X2022,0,0.0,0.0,0.0,0.0,0,,1614609001770,1614978899794,0.02,97.541,0.0,0.0,0.0,0.0,0.0,19,0.02,0.0,29.0,,255.0,1615237200000,1,S,1615251600000,100.0, ,,,19900.0,0.0,4900.0,False,False,False,03-07-2021
SPY Mar 8 2021 260 Put (Weekly),PUT,SPY_030821P260,OPR,0.0,0.01,0.01,0.01,0,2022,0X2022,0,0.0,0.0,0.0,0.0,0,,1614881984433,1614978899794,0.01,93.106,0.0,0.0,0.0,0.0,0.0,634,0.01,0.0,29.0,,260.0,1615237200000,1,S,1615251600000,100.0, ,,,9900.0,0.0,4900.0,False,False,False,03-07-2021
SPY Mar 8 2021 265 Put (Weekly),PUT,SPY_030821P265,OPR,0.0,0.01,0.01,0.01,0,2022,0X2022,0,0.01,0.01,0.0,0.0,5,,1614954976997,1614978899794,0.01,88.732,0.0,0.0,0.0,0.0,0.0,519,0.01,0.0,29.0,,265.0,1615237200000,1,S,1615251600000,100.0, ,,,9900.0,0.0,4900.0,False,False,False,03-07-2021
SPY Mar 8 2021 270 Put (Weekly),PUT,SPY_030821P270,OPR,0.0,0.01,0.01,0.01,0,2022,0X2022,0,0.01,0.01,0.0,0.0,65,,1614960297225,1614978899794,0.01,84.413,0.0,0.0,0.0,0.0,0.0,855,0.01,0.0,29.0,,270.0,1615237200000,1,S,1615251600000,100.0, ,,,9900.0,0.0,4900.0,False,False,False,03-07-2021
SPY Mar 8 2021 275 Put (Weekly),PUT,SPY_030821P275,OPR,0.0,0.01,0.01,0.01,0,2122,0X2122,0,0.0,0.0,0.0,0.0,0,,1614884646024,1614978899794,0.01,80.193,0.0,0.0,0.0,0.0,0.0,1851,0.01,0.0,29.0,,275.0,1615237200000,1,S,1615251600000,100.0, ,,,9900.0,0.0,4900.0,False,False,False,03-07-2021
SPY Mar 8 2021 280 Put (Weekly),PUT,SPY_030821P280,OPR,0.0,0.01,0.01,0.01,0,2120,0X2120,0,0.0,0.0,0.0,0.0,0,,1614884766297,1614978899794,0.01,76.014,0.0,0.0,0.0,0.0,0.0,1930,0.01,0.0,29.0,,280.0,1615237200000,1,S,1615251600000,100.0, ,,,9900.0,0.0,4900.0,False,False,False,03-07-2021
SPY Mar 8 2021 285 Put (Weekly),PUT,SPY_030821P285,OPR,0.0,0.01,0.02,0.01,0,2020,0X2020,0,0.0,0.0,0.0,0.0,0,,1614884001844,1614978899794,0.02,71.957,0.0,0.0,0.0,0.0,0.0,90,0.02,0.0,29.0,,285.0,1615237200000,1,S,1615251600000,100.0, ,,,19900.0,0.0,4900.0,False,False,False,03-07-2021
SPY Mar 8 2021 290 Put (Weekly),PUT,SPY_030821P290,OPR,0.0,0.01,0.01,0.01,0,2020,0X2020,0,0.0,0.0,0.0,0.0,0,,1614890535453,1614978899794,0.01,67.927,0.0,0.0,0.0,0.0,0.0,109,0.01,0.0,29.0,,290.0,1615237200000,1,S,1615251600000,100.0, ,,,9900.0,0.0,4900.0,False,False,False,03-07-2021
SPY Mar 8 2021 295 Put (Weekly),PUT,SPY_030821P295,OPR,0.0,0.01,0.01,0.01,0,1917,0X1917,0,0.0,0.0,0.0,0.0,0,,1614888083495,1614978899808,0.01,63.938,0.0,0.0,0.0,0.0,0.0,273,0.01,0.0,29.0,,295.0,1615237200000,1,S,1615251600000,100.0, ,,,9900.0,0.0,4900.0,False,False,False,03-07-2021
SPY Mar 8 2021 300 Put (Weekly),PUT,SPY_030821P300,OPR,0.0,0.01,0.01,0.01,0,1913,0X1913,0,0.01,0.01,0.0,0.0,76,,1614976507158,1614978899794,0.01,60.024,0.0,0.0,0.0,0.0,0.0,1483,0.01,0.0,29.0,,300.0,1615237200000,1,S,1615251600000,100.0, ,,,9900.0,0.0,4900.0,False,False,False,03-07-2021
SPY Mar 8 2021 305 Put (Weekly),PUT,SPY_030821P305,OPR,0.0,0.01,0.01,0.01,0,1808,0X1808,0,0.01,0.01,0.0,0.0,33,,1614963336851,1614978899794,0.01,56.174,0.0,0.0,0.0,0.0,0.0,712,0.01,0.0,29.0,,305.0,1615237200000,1,S,1615251600000,100.0, ,,,9900.0,0.0,4900.0,False,False,False,03-07-2021
SPY Mar 8 2021 310 Put (Weekly),PUT,SPY_030821P310,OPR,0.0,0.01,0.01,0.01,0,1575,0X1575,0,0.01,0.01,0.0,0.0,2,,1614961641894,1614978899794,0.01,52.36,0.0,0.0,0.0,0.0,0.0,1454,0.01,0.0,29.0,,310.0,1615237200000,1,S,1615251600000,100.0, ,,,9900.0,0.0,4900.0,False,False,False,03-07-2021
